type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,8192,450000,450000,61803,1
MutexBased,8192,450000,348555,46986,0
MutexBased,256,500000,500000,82575,1
MutexBased,256,500000,358189,59117,0
MutexBased,512,500000,500000,82474,1
MutexBased,512,500000,411799,66472,0
MutexBased,1024,500000,500000,86292,1
MutexBased,1024,500000,385760,67826,0
MutexBased,2048,500000,500000,74018,1
MutexBased,2048,500000,449464,66266,0
MutexBased,4096,500000,500000,69673,1
MutexBased,4096,500000,436054,62281,0
MutexBased,8192,500000,500000,67591,1
MutexBased,8192,500000,466530,60970,0
MutexBased,256,1000000,1000000,170750,1
MutexBased,256,1000000,768092,129281,0
MutexBased,512,1000000,1000000,159879,1
MutexBased,512,1000000,796168,133281,0
MutexBased,1024,1000000,1000000,172432,1
MutexBased,1024,1000000,684088,119385,0
MutexBased,2048,1000000,1000000,143670,1
MutexBased,2048,1000000,853074,122667,0
MutexBased,4096,1000000,1000000,142520,1
MutexBased,4096,1000000,787929,113617,0
MutexBased,8192,1000000,1000000,138624,1
MutexBased,8192,1000000,821715,111518,0
MutexBased,256,1100000,1100000,188193,1
MutexBased,256,1100000,757842,126772,0
MutexBased,512,1100000,1100000,179544,1
MutexBased,512,1100000,836074,139838,0
MutexBased,1024,1100000,1100000,191610,1
MutexBased,1024,1100000,817756,142207,0
MutexBased,2048,1100000,1100000,163635,1
MutexBased,2048,1100000,883666,128733,0
MutexBased,4096,1100000,1100000,163806,1
MutexBased,4096,1100000,898907,133982,0
MutexBased,8192,1100000,1100000,155486,1
MutexBased,8192,1100000,926772,129327,0
MutexBased,256,1200000,1200000,204717,1
MutexBased,256,1200000,889052,151218,0
MutexBased,512,1200000,1200000,198713,1
MutexBased,512,1200000,922075,151852,0
MutexBased,1024,1200000,1200000,208968,1
MutexBased,1024,1200000,783427,143297,0
MutexBased,2048,1200000,1200000,177990,1
MutexBased,2048,1200000,1012982,148939,0
MutexBased,4096,1200000,1200000,184102,1
MutexBased,4096,1200000,1013428,154467,0
MutexBased,8192,1200000,1200000,167796,1
MutexBased,8192,1200000,940696,135807,0
MutexBased,256,1300000,1300000,223703,1
MutexBased,256,1300000,947940,163059,0
MutexBased,512,1300000,1300000,220146,1
MutexBased,512,1300000,1009839,170355,0
MutexBased,1024,1300000,1300000,229226,1
MutexBased,1024,1300000,1041741,183198,0
MutexBased,2048,1300000,1300000,192258,1
MutexBased,2048,1300000,1070301,161987,0
MutexBased,4096,1300000,1300000,204961,1
MutexBased,4096,1300000,1015083,154809,0
MutexBased,8192,1300000,1300000,190367,1
MutexBased,8192,1300000,1144896,162383,0
MutexBased,256,1400000,1400000,241456,1
MutexBased,256,1400000,999982,171162,0
MutexBased,512,1400000,1400000,231073,1
MutexBased,512,1400000,1062602,176370,0
MutexBased,1024,1400000,1400000,-2237489,1
MutexBased,1024,1400000,1029654,179643,0
MutexBased,2048,1400000,1400000,207715,1
MutexBased,2048,1400000,1087524,166402,0
MutexBased,4096,1400000,1400000,207474,1
MutexBased,4096,1400000,1230144,183137,0
MutexBased,8192,1400000,1400000,193155,1
MutexBased,8192,1400000,1293069,186303,0
MutexBased,256,1500000,1500000,260634,1
MutexBased,256,1500000,1094608,193094,0
MutexBased,512,1500000,1500000,254551,1
MutexBased,512,1500000,1116774,191270,0
MutexBased,1024,1500000,1500000,265454,1
MutexBased,1024,1500000,989506,178426,0
MutexBased,2048,1500000,1500000,226683,1
MutexBased,2048,1500000,1193170,183225,0
MutexBased,4096,1500000,1500000,233925,1
MutexBased,4096,1500000,1205715,188787,0
MutexBased,8192,1500000,1500000,215211,1
MutexBased,8192,1500000,1383955,196083,0
LockFreeBased,256,100,100,238,1
LockFreeBased,256,100,100,128,0
LockFreeBased,512,100,100,106,1
LockFreeBased,512,100,100,143,0
LockFreeBased,1024,100,100,163,1
LockFreeBased,1024,100,100,138,0
LockFreeBased,2048,100,100,178,1
LockFreeBased,2048,100,100,343,0
LockFreeBased,4096,100,100,192,1
LockFreeBased,4096,100,100,84,0
LockFreeBased,8192,100,100,79,1
LockFreeBased,8192,100,100,110,0
LockFreeBased,256,200,200,234,1
LockFreeBased,256,200,200,106,0
LockFreeBased,512,200,200,205,1
LockFreeBased,512,200,200,174,0
LockFreeBased,1024,200,200,93,1
LockFreeBased,1024,200,200,65,0
LockFreeBased,2048,200,200,247,1
LockFreeBased,2048,200,200,64,0
LockFreeBased,4096,200,200,69,1
LockFreeBased,4096,200,200,81,0
LockFreeBased,8192,200,200,87,1
LockFreeBased,8192,200,200,92,0
LockFreeBased,256,300,300,94,1
LockFreeBased,256,300,255,167,0
LockFreeBased,512,300,300,202,1
LockFreeBased,512,300,300,105,0
LockFreeBased,1024,300,300,70,1
LockFreeBased,1024,300,300,77,0
LockFreeBased,2048,300,300,83,1
LockFreeBased,2048,300,300,97,0
LockFreeBased,4096,300,300,105,1
LockFreeBased,4096,300,300,72,0
LockFreeBased,8192,300,300,107,1
LockFreeBased,8192,300,300,130,0
LockFreeBased,256,400,400,216,1
LockFreeBased,256,400,400,181,0
LockFreeBased,512,400,400,112,1
LockFreeBased,512,400,400,201,0
LockFreeBased,1024,400,400,111,1
LockFreeBased,1024,400,400,244,0
LockFreeBased,2048,400,400,393,1
LockFreeBased,2048,400,400,288,0
LockFreeBased,4096,400,400,194,1
LockFreeBased,4096,400,400,121,0
LockFreeBased,8192,400,400,328,1
LockFreeBased,8192,400,400,179,0
LockFreeBased,256,500,500,224,1
