type,queueSize,generated,collected,elapsedInMicros,retryOnFull
LockFreeBased,8192,1000,1000,70,1
LockFreeBased,8192,1000,1000,81,0
LockFreeBased,256,1500,1500,83,1
LockFreeBased,256,1500,255,88,0
LockFreeBased,512,1500,1500,83,1
LockFreeBased,512,1500,1500,152,0
LockFreeBased,1024,1500,1500,73,1
LockFreeBased,1024,1500,1500,119,0
LockFreeBased,2048,1500,1500,149,1
LockFreeBased,2048,1500,1500,76,0
LockFreeBased,4096,1500,1500,101,1
LockFreeBased,4096,1500,1500,99,0
LockFreeBased,8192,1500,1500,92,1
LockFreeBased,8192,1500,1500,87,0
LockFreeBased,256,2000,2000,103,1
LockFreeBased,256,2000,255,99,0
LockFreeBased,512,2000,2000,110,1
LockFreeBased,512,2000,2000,90,0
LockFreeBased,1024,2000,2000,89,1
LockFreeBased,1024,2000,2000,78,0
LockFreeBased,2048,2000,2000,150,1
LockFreeBased,2048,2000,2000,81,0
LockFreeBased,4096,2000,2000,108,1
LockFreeBased,4096,2000,2000,84,0
LockFreeBased,8192,2000,2000,122,1
LockFreeBased,8192,2000,2000,87,0
LockFreeBased,256,2500,2500,83,1
LockFreeBased,256,2500,2500,87,0
LockFreeBased,512,2500,2500,132,1
LockFreeBased,512,2500,511,91,0
LockFreeBased,1024,2500,2500,101,1
LockFreeBased,1024,2500,2317,128,0
LockFreeBased,2048,2500,2500,111,1
LockFreeBased,2048,2500,2047,186,0
LockFreeBased,4096,2500,2500,105,1
LockFreeBased,4096,2500,2500,96,0
LockFreeBased,8192,2500,2500,164,1
LockFreeBased,8192,2500,2500,87,0
LockFreeBased,256,3000,3000,107,1
LockFreeBased,256,3000,2922,150,0
LockFreeBased,512,3000,3000,185,1
LockFreeBased,512,3000,3000,147,0
LockFreeBased,1024,3000,3000,195,1
LockFreeBased,1024,3000,3000,100,0
LockFreeBased,2048,3000,3000,109,1
LockFreeBased,2048,3000,3000,130,0
LockFreeBased,4096,3000,3000,105,1
LockFreeBased,4096,3000,3000,118,0
LockFreeBased,8192,3000,3000,223,1
LockFreeBased,8192,3000,3000,958,0
LockFreeBased,256,3500,3500,4938,1
LockFreeBased,256,3500,255,593,0
LockFreeBased,512,3500,3500,526,1
LockFreeBased,512,3500,2743,213,0
LockFreeBased,1024,3500,3500,435,1
LockFreeBased,1024,3500,3500,576,0
LockFreeBased,2048,3500,3500,707,1
LockFreeBased,2048,3500,2047,130,0
LockFreeBased,4096,3500,3500,288,1
LockFreeBased,4096,3500,3500,113,0
LockFreeBased,8192,3500,3500,171,1
LockFreeBased,8192,3500,3500,107,0
LockFreeBased,256,4000,4000,137,1
LockFreeBased,256,4000,255,142,0
LockFreeBased,512,4000,4000,184,1
LockFreeBased,512,4000,4000,297,0
LockFreeBased,1024,4000,4000,105,1
LockFreeBased,1024,4000,1023,186,0
LockFreeBased,2048,4000,4000,218,1
LockFreeBased,2048,4000,2047,197,0
LockFreeBased,4096,4000,4000,606,1
LockFreeBased,4096,4000,4000,170,0
LockFreeBased,8192,4000,4000,130,1
LockFreeBased,8192,4000,4000,80,0
LockFreeBased,256,4500,4500,157,1
LockFreeBased,256,4500,4500,313,0
LockFreeBased,512,4500,4500,142,1
LockFreeBased,512,4500,4500,148,0
LockFreeBased,1024,4500,4500,315,1
LockFreeBased,1024,4500,4500,152,0
LockFreeBased,2048,4500,4500,225,1
LockFreeBased,2048,4500,4500,389,0
LockFreeBased,4096,4500,4500,180,1
LockFreeBased,4096,4500,4095,401,0
LockFreeBased,8192,4500,4500,773,1
LockFreeBased,8192,4500,4500,826,0
LockFreeBased,256,5000,5000,297,1
LockFreeBased,256,5000,5000,217,0
LockFreeBased,512,5000,5000,254,1
LockFreeBased,512,5000,511,230,0
LockFreeBased,1024,5000,5000,216,1
LockFreeBased,1024,5000,1023,361,0
LockFreeBased,2048,5000,5000,367,1
LockFreeBased,2048,5000,5000,260,0
LockFreeBased,4096,5000,5000,164,1
LockFreeBased,4096,5000,5000,155,0
LockFreeBased,8192,5000,5000,129,1
LockFreeBased,8192,5000,5000,171,0
LockFreeBased,256,10000,10000,169,1
LockFreeBased,256,10000,10000,171,0
LockFreeBased,512,10000,10000,272,1
LockFreeBased,512,10000,10000,179,0
LockFreeBased,1024,10000,10000,1296,1
LockFreeBased,1024,10000,1023,248,0
LockFreeBased,2048,10000,10000,227,1
LockFreeBased,2048,10000,10000,338,0
LockFreeBased,4096,10000,10000,226,1
LockFreeBased,4096,10000,10000,202,0
LockFreeBased,8192,10000,10000,264,1
LockFreeBased,8192,10000,10000,162,0
LockFreeBased,256,15000,15000,221,1
LockFreeBased,256,15000,255,322,0
LockFreeBased,512,15000,15000,492,1
LockFreeBased,512,15000,15000,252,0
LockFreeBased,1024,15000,15000,620,1
LockFreeBased,1024,15000,13204,264,0
LockFreeBased,2048,15000,15000,269,1
LockFreeBased,2048,15000,2047,254,0
LockFreeBased,4096,15000,15000,431,1
LockFreeBased,4096,15000,15000,594,0
LockFreeBased,8192,15000,15000,452,1
LockFreeBased,8192,15000,15000,837,0
LockFreeBased,256,20000,20000,719,1
LockFreeBased,256,20000,18437,509,0
LockFreeBased,512,20000,20000,510,1
LockFreeBased,512,20000,17643,328,0
LockFreeBased,1024,20000,20000,768,1
LockFreeBased,1024,20000,18169,642,0
LockFreeBased,2048,20000,20000,528,1
LockFreeBased,2048,20000,5756,390,0
LockFreeBased,4096,20000,20000,407,1
LockFreeBased,4096,20000,19395,467,0
LockFreeBased,8192,20000,20000,642,1
LockFreeBased,8192,20000,20000,560,0
LockFreeBased,256,25000,25000,516,1
LockFreeBased,256,25000,23387,510,0
LockFreeBased,512,25000,25000,307,1
LockFreeBased,512,25000,24679,258,0
LockFreeBased,1024,25000,25000,397,1
LockFreeBased,1024,25000,24744,449,0
LockFreeBased,2048,25000,25000,362,1
LockFreeBased,2048,25000,2047,291,0
LockFreeBased,4096,25000,25000,227,1
LockFreeBased,4096,25000,25000,608,0
LockFreeBased,8192,25000,25000,530,1
LockFreeBased,8192,25000,25000,646,0
LockFreeBased,256,30000,30000,548,1
LockFreeBased,256,30000,27575,864,0
LockFreeBased,512,30000,30000,734,1
LockFreeBased,512,30000,27950,850,0
LockFreeBased,1024,30000,30000,625,1
LockFreeBased,1024,30000,1023,127,0
LockFreeBased,2048,30000,30000,725,1
LockFreeBased,2048,30000,2047,458,0
LockFreeBased,4096,30000,30000,621,1
LockFreeBased,4096,30000,4095,552,0
LockFreeBased,8192,30000,30000,836,1
LockFreeBased,8192,30000,8191,396,0
LockFreeBased,256,35000,35000,787,1
LockFreeBased,256,35000,34893,626,0
LockFreeBased,512,35000,35000,700,1
LockFreeBased,512,35000,511,464,0
LockFreeBased,1024,35000,35000,640,1
LockFreeBased,1024,35000,35000,826,0
LockFreeBased,2048,35000,35000,888,1
LockFreeBased,2048,35000,35000,765,0
LockFreeBased,4096,35000,35000,776,1
LockFreeBased,4096,35000,35000,709,0
LockFreeBased,8192,35000,35000,458,1
LockFreeBased,8192,35000,35000,679,0
LockFreeBased,256,40000,40000,636,1
LockFreeBased,256,40000,31603,540,0
LockFreeBased,512,40000,40000,739,1
LockFreeBased,512,40000,29370,718,0
LockFreeBased,1024,40000,40000,514,1
LockFreeBased,1024,40000,16952,423,0
LockFreeBased,2048,40000,40000,554,1
LockFreeBased,2048,40000,13561,989,0
LockFreeBased,4096,40000,40000,844,1
LockFreeBased,4096,40000,40000,711,0
LockFreeBased,8192,40000,40000,666,1
