type,queueSize,generated,collected,elapsedInMicros,retryOnFull
MutexBased,200,11000,9859,1778,0
MutexBased,300,11000,11000,1816,1
MutexBased,300,11000,9280,1958,0
MutexBased,400,11000,11000,2573,1
MutexBased,400,11000,9375,1868,0
MutexBased,500,11000,11000,1835,1
MutexBased,500,11000,10294,1675,0
MutexBased,600,11000,11000,1794,1
MutexBased,600,11000,10633,2291,0
MutexBased,700,11000,11000,2443,1
MutexBased,700,11000,8631,1777,0
MutexBased,800,11000,11000,1766,1
MutexBased,800,11000,10630,1671,0
MutexBased,900,11000,11000,1624,1
MutexBased,900,11000,5366,847,0
MutexBased,1000,11000,11000,1785,1
MutexBased,1000,11000,10892,1782,0
MutexBased,1100,11000,11000,2652,1
MutexBased,1100,11000,11000,2045,0
MutexBased,1200,11000,11000,1785,1
MutexBased,1200,11000,11000,1933,0
MutexBased,1300,11000,11000,1539,1
MutexBased,1300,11000,8088,1107,0
MutexBased,1400,11000,11000,1805,1
MutexBased,1400,11000,11000,1776,0
MutexBased,1500,11000,11000,1612,1
MutexBased,1500,11000,1940,450,0
MutexBased,1600,11000,11000,2216,1
MutexBased,1600,11000,6409,1120,0
MutexBased,1700,11000,11000,1563,1
MutexBased,1700,11000,9371,1115,0
MutexBased,1800,11000,11000,1728,1
MutexBased,1800,11000,11000,2289,0
MutexBased,1900,11000,11000,1601,1
MutexBased,1900,11000,7163,1207,0
MutexBased,2000,11000,11000,1636,1
MutexBased,2000,11000,11000,2007,0
MutexBased,100,12000,12000,2949,1
MutexBased,100,12000,7405,1561,0
MutexBased,200,12000,12000,2046,1
MutexBased,200,12000,11803,2469,0
MutexBased,300,12000,12000,2187,1
MutexBased,300,12000,11366,2050,0
MutexBased,400,12000,12000,2667,1
MutexBased,400,12000,11022,1950,0
MutexBased,500,12000,12000,2927,1
MutexBased,500,12000,10694,1808,0
MutexBased,600,12000,12000,2255,1
MutexBased,600,12000,10928,1790,0
MutexBased,700,12000,12000,2299,1
MutexBased,700,12000,11451,1853,0
MutexBased,800,12000,12000,2074,1
MutexBased,800,12000,10727,1675,0
MutexBased,900,12000,12000,1776,1
MutexBased,900,12000,6714,1610,0
MutexBased,1000,12000,12000,2474,1
MutexBased,1000,12000,12000,2249,0
MutexBased,1100,12000,12000,1908,1
MutexBased,1100,12000,12000,1887,0
MutexBased,1200,12000,12000,1738,1
MutexBased,1200,12000,11557,1731,0
MutexBased,1300,12000,12000,1569,1
MutexBased,1300,12000,10268,1396,0
MutexBased,1400,12000,12000,2203,1
MutexBased,1400,12000,12000,2253,0
MutexBased,1500,12000,12000,2009,1
MutexBased,1500,12000,10547,1656,0
MutexBased,1600,12000,12000,1738,1
MutexBased,1600,12000,10983,2092,0
MutexBased,1700,12000,12000,1946,1
MutexBased,1700,12000,12000,2260,0
MutexBased,1800,12000,12000,2010,1
MutexBased,1800,12000,4732,638,0
MutexBased,1900,12000,12000,2212,1
MutexBased,1900,12000,12000,1982,0
MutexBased,2000,12000,12000,2224,1
MutexBased,2000,12000,12000,1785,0
MutexBased,100,13000,13000,2225,1
MutexBased,100,13000,11180,2228,0
MutexBased,200,13000,13000,2246,1
MutexBased,200,13000,6802,1335,0
MutexBased,300,13000,13000,2921,1
MutexBased,300,13000,10807,2142,0
MutexBased,400,13000,13000,2382,1
MutexBased,400,13000,10572,2360,0
MutexBased,500,13000,13000,2218,1
MutexBased,500,13000,11718,1857,0
MutexBased,600,13000,13000,2097,1
MutexBased,600,13000,12999,2005,0
MutexBased,700,13000,13000,2027,1
MutexBased,700,13000,1881,378,0
MutexBased,800,13000,13000,5798,1
MutexBased,800,13000,8917,2100,0
MutexBased,900,13000,13000,2884,1
MutexBased,900,13000,11517,2105,0
MutexBased,1000,13000,13000,2685,1
MutexBased,1000,13000,6965,1567,0
MutexBased,1100,13000,13000,2517,1
MutexBased,1100,13000,13000,2925,0
MutexBased,1200,13000,13000,1790,1
MutexBased,1200,13000,12306,1772,0
MutexBased,1300,13000,13000,1881,1
MutexBased,1300,13000,13000,1766,0
MutexBased,1400,13000,13000,1880,1
MutexBased,1400,13000,1399,465,0
MutexBased,1500,13000,13000,2398,1
MutexBased,1500,13000,13000,2265,0
MutexBased,1600,13000,13000,1773,1
MutexBased,1600,13000,13000,2161,0
MutexBased,1700,13000,13000,2158,1
MutexBased,1700,13000,12706,1633,0
MutexBased,1800,13000,13000,2228,1
MutexBased,1800,13000,5077,1249,0
MutexBased,1900,13000,13000,2532,1
MutexBased,1900,13000,12613,1822,0
MutexBased,2000,13000,13000,2197,1
MutexBased,2000,13000,13000,1759,0
MutexBased,100,14000,14000,2572,1
MutexBased,100,14000,10639,1950,0
MutexBased,200,14000,14000,2580,1
MutexBased,200,14000,11273,2120,0
MutexBased,300,14000,14000,2402,1
MutexBased,300,14000,11019,2043,0
MutexBased,400,14000,14000,2294,1
MutexBased,400,14000,13906,2289,0
MutexBased,500,14000,14000,2518,1
MutexBased,500,14000,11398,1712,0
MutexBased,600,14000,14000,2464,1
MutexBased,600,14000,11972,1802,0
MutexBased,700,14000,14000,3084,1
MutexBased,700,14000,13851,2324,0
MutexBased,800,14000,14000,2247,1
MutexBased,800,14000,12528,2144,0
MutexBased,900,14000,14000,2086,1
MutexBased,900,14000,14000,1943,0
